fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2023-10-16,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"9,9",,"6,3",04:50,"13,5",11:10,20,"1,4","17,5",22:20,,"774,2",00,"771,9",24
2023-10-17,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"10,9",,"7,8",07:00,"14,0",13:40,17,"13,6","32,8",21:10,,"772,0",00,"768,4",23
2023-10-18,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"9,5",,"5,4",02:30,"13,6",11:00,19,"3,9","31,9",00:20,,"772,1",10,"768,3",00
2023-10-19,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"7,0",,"2,7",22:00,"11,4",05:00,18,"15,6","39,2",19:10,,"769,2",00,"756,0",19
2023-10-20,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"1,8",,"-0,7",06:20,"4,4",12:00,32,"12,5","23,9",16:40,,"765,2",22,"755,8",02
2023-10-21,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"3,8",,"-1,2",04:40,"8,7",12:50,19,"5,6","15,3",23:40,,"766,8",11,"764,5",03
2023-10-22,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"5,5",,"1,6",00:10,"9,4",13:20,18,"14,4","33,9",19:10,,"765,1",00,"758,9",19
2023-10-23,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"3,9",,"1,8",23:59,"6,0",12:30,19,"8,1","21,7",08:00,,"769,9",22,"764,3",00
2023-10-24,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"4,2",,"0,3",04:20,"8,2",23:00,32,"6,1","15,0",23:00,,"773,6",22,"768,9",01
2023-10-25,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"8,4",,"4,9",03:40,"11,9",14:30,32,"13,6","22,5",04:30,,"776,1",21,"771,5",04
2023-10-26,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"10,4",,"6,9",04:50,"13,9",12:30,31,"11,1","28,9",17:30,,"775,1",00,"769,7",19
2023-10-28,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"8,0",,"4,1",17:20,"11,9",12:50,21,"1,7","10,3",19:40,,"770,9",00,"769,2",04
2023-10-29,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"8,2",,"4,2",22:30,"12,3",12:00,19,"7,2","20,3",23:59,,"769,3",00,"765,1",24
2023-11-04,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"8,8",,"3,9",00:20,"13,7",15:30,28,"6,1","25,8",21:20,,"768,8",00,"765,6",17
2023-11-05,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"6,5",,"2,1",20:50,"10,9",13:40,29,"4,7","20,8",02:30,,"769,9",Varias,"765,8",03
2023-11-06,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"0,2",,"-3,5",20:40,"3,8",00:20,34,"6,7","12,5",17:30,,"773,1",21,"769,2",02
2023-11-07,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"0,0",,"-4,5",04:30,"4,4",13:00,33,"7,8","15,8",16:30,,"776,9",21,"772,8",Varias
2023-11-08,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"3,9",,"-1,0",02:30,"8,8",13:40,20,"1,9","8,9",00:10,,"777,6",11,"775,1",24
2023-11-21,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"3,2",,"-4,0",23:00,"10,4",11:00,32,"10,6","19,7",01:30,,"774,9",00,"770,1",18
2023-11-22,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"0,4",,"-3,4",01:40,"4,2",12:00,34,"8,1","18,3",06:40,,"772,7",22,"769,5",06
2023-11-23,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"-0,7",,"-5,4",06:20,"4,0",12:30,33,"5,8","12,5",19:20,,"775,1",11,"771,7",01
2023-11-24,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"4,9",,"-0,5",00:50,"10,3",13:30,34,"6,7","11,7",07:00,,"773,7",00,"771,7",15
2023-11-25,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"8,8",,"4,0",00:10,"13,6",14:10,33,"3,6","10,6",04:00,,"772,9",Varias,"771,3",14
2023-11-26,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"8,4",,"4,3",07:00,"12,4",13:20,31,"1,1","5,6",22:50,,"774,0",Varias,"771,7",Varias
2023-11-27,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"7,8",,"3,7",07:10,"11,8",11:40,33,"7,8","20,3",21:20,,"773,6",10,"771,3",22
2023-11-28,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"9,3",,"5,6",20:30,"13,0",12:50,34,"4,2","12,5",00:50,,"772,5",10,"770,3",24
2023-11-29,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"8,2",,"4,2",23:59,"12,2",13:00,29,"3,6","10,3",02:40,,"770,4",10,"768,5",22
2023-11-30,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"6,2",,"1,5",23:10,"10,8",12:00,18,"5,8","20,0",22:40,,"768,6",00,"763,0",24
2023-12-01,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"-1,4",,"-5,5",20:00,"2,7",00:20,21,"14,4","30,8",05:20,,"764,7",23,"758,9",06
2023-12-02,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"-2,2",,"-5,7",04:20,"1,2",10:10,34,"6,9","17,2",01:50,,"771,6",24,"763,8",01
2023-12-03,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"0,6",,"-5,4",02:10,"6,5",12:50,99,"6,4","12,8",16:50,,"773,9",10,"771,2",02
2023-12-04,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"4,9",,"1,9",20:20,"7,9",01:50,31,"6,9","18,9",10:50,,"773,1",09,"771,3",15
2023-12-05,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"3,4",,"0,1",23:59,"6,7",11:40,30,"6,1","13,6",00:20,,"771,9",Varias,"767,7",24
2023-12-06,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"2,4",,"0,1",00:10,"4,7",12:50,18,"3,9","13,6",01:00,,"774,1",24,"766,8",01
2023-12-07,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"5,8",,"1,5",02:50,"10,1",15:20,34,"5,8","20,8",22:50,,"775,7",10,"773,8",03
2023-12-08,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"0,8",,"-2,1",17:20,"3,7",01:00,32,"20,0","37,5",13:00,,"776,5",23,"769,3",14
2023-12-09,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"5,8",,"1,7",03:30,"10,0",21:20,33,"16,9","24,4",04:10,,"781,2",24,"775,0",01
2023-12-10,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"11,5",,"7,3",03:10,"15,7",11:10,32,"6,1","15,0",16:30,,"782,9",11,"780,7",04
2023-12-11,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"12,4",,"7,3",20:50,"17,6",12:50,29,"3,3","11,1",08:30,,"782,6",10,"780,5",16
2023-12-12,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"11,0",,"7,1",22:40,"15,0",13:00,28,"3,9","10,6",16:30,,"780,7",00,"774,7",24
2023-12-13,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"1,0",,"-6,0",23:40,"7,9",00:10,35,"11,7","20,0",18:50,,"774,7",00,"768,2",18
2023-12-14,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"-2,5",,"-6,7",00:40,"1,7",12:50,34,"8,6","16,4",19:00,,"779,1",23,"771,3",00
2023-12-15,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"2,4",,"-0,9",17:00,"5,6",13:50,34,"5,0","16,1",01:10,,"783,3",Varias,"778,7",01
2023-12-16,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"2,7",,"-0,9",03:20,"6,3",13:00,04,"4,7","11,1",21:00,,"784,5",10,"782,4",02
2023-12-17,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"0,0",,"-3,5",22:50,"3,6",11:40,33,"7,2","15,6",18:30,,"783,8",10,"781,8",16
2023-12-18,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"-1,1",,"-4,0",23:59,"1,8",12:00,33,"7,5","14,2",16:50,,"782,2",00,"780,0",17
2023-12-19,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"0,2",,"-4,3",00:20,"4,6",12:20,34,"8,3","16,1",22:40,,"781,0",10,"778,7",24
2023-12-20,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"0,5",,"-4,3",21:10,"5,3",12:50,33,"10,8","19,4",04:20,,"778,7",00,"774,2",16
2023-12-21,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"1,6",,"-3,3",03:40,"6,6",11:00,33,"6,4","14,2",00:50,,"778,5",23,"775,1",05
2023-12-22,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"7,9",,"3,1",05:10,"12,7",13:10,36,"5,6","13,3",07:50,,"779,9",11,"777,8",05
2023-12-23,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"7,3",,"3,0",07:20,"11,6",11:50,35,,"10,8",00:30,,"778,9",11,"777,3",04
2023-12-25,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,,,,,,,,"1,9",,,,,,,
2023-12-26,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"8,2",,"3,4",02:40,"13,0",12:50,20,"2,5","6,4",13:00,,"777,2",10,"774,9",05
2023-12-27,6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,"7,0",,"2,6",23:00,"11,3",12:20,19,"3,3","9,7",16:20,,"778,3",Varias,"775,4",05
