fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2019-06-01,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,"20,8","0,0","15,8",03:30,"25,9",17:00,09,"1,9","7,5",13:40,,"885,0",Varias,"882,0",Varias
2019-06-02,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,"15,8","0,0","11,6",23:59,"20,0",14:20,10,"2,5","6,7",19:20,,"883,0",Varias,"880,0",09
2019-06-03,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,"13,0","0,0","8,8",03:00,"17,1",17:00,13,"2,5","7,5",04:20,,"881,0",Varias,"876,0",24
2019-06-04,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,"10,2","7,8","4,4",22:40,"16,0",12:00,36,"2,5","7,8",13:20,,"876,0",00,"871,0",Varias
2019-06-05,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,"5,9","1,3","3,5",23:00,"8,3",12:40,30,"2,8","10,3",11:20,,"876,0",Varias,"872,0",Varias
2019-06-06,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,"8,0",,"1,5",05:40,"14,6",18:40,22,"6,4","24,2",19:10,,"876,0",Varias,"863,0",23
2019-06-07,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,,,,,,,,"3,3",,,,,,,
2019-06-08,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,"6,2","0,2","3,6",06:50,"8,9",13:10,99,"2,8","7,5",13:40,,"884,0",Varias,"882,0",Varias
2019-06-09,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,"5,6",,"4,0",07:10,"7,3",14:10,12,"1,7","6,7",01:10,,"882,0",Varias,"879,0",Varias
2019-06-13,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,,,,,,,,,,,,"876,0",Varias,"873,0",Varias
