fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2023-07-05,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"25,5","0,0","18,6",23:59,"32,4",10:40,99,"2,5","8,9",12:50,,"909,6",00,"907,1",17
2023-07-06,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"24,4","0,0","18,6",00:10,"30,1",13:10,12,"2,5","9,4",13:20,,"907,9",00,"905,1",17
2023-07-07,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"24,6","0,0","18,0",05:00,"31,3",14:20,15,"2,5","9,7",13:30,,"909,8",23,"905,5",03
2023-07-08,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"26,8","0,0","20,0",00:50,"33,6",13:00,09,"2,2","10,6",13:00,,"911,7",22,"908,1",Varias
2023-07-09,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"29,4","0,0","20,6",04:50,"38,3",14:20,11,"1,9","8,1",15:10,,"912,9",22,"910,5",02
2023-07-10,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"30,8","0,0","21,8",23:00,"39,8",15:00,13,"2,8","10,0",12:40,,"913,8",10,"911,2",18
2023-07-11,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"30,9","0,0","22,0",00:10,"39,8",15:20,35,"2,2","10,8",16:40,,"912,6",00,"909,1",18
2023-07-12,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"33,8","0,0","25,9",03:50,"41,7",13:50,30,"3,1","11,1",14:40,,"910,1",00,"907,6",16
2023-07-13,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"27,4","0,0","20,0",23:59,"34,7",10:30,10,"2,5","9,2",12:20,,"911,7",22,"909,0",03
2023-07-14,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"25,1","0,0","18,1",03:10,"32,1",13:30,12,"1,7","8,6",15:00,,"911,3",00,"907,2",17
2023-07-15,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,0","0,0","19,1",01:50,"37,0",14:40,31,"1,9","7,8",05:30,,"908,2",00,"905,6",Varias
2023-07-16,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,8","0,0","21,4",23:30,"36,2",13:40,99,"2,5","9,7",Varias,,"909,7",23,"906,4",04
2023-07-17,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"30,0","0,0","22,2",,"37,9",12:00,13,"3,1","10,0",12:50,,"912,5",24,"908,7",03
2023-07-18,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"31,7","0,0","24,8",01:50,"38,6",12:30,08,"1,9","10,3",11:40,,"912,5",00,"910,6",Varias
2023-07-19,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"33,8","0,0","27,9",,"39,7",13:30,32,"2,8","10,0",09:20,,"911,6",00,"908,7",18
2023-07-20,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"32,4","0,0","26,5",20:20,"38,4",14:40,30,"2,2","13,3",15:10,,"909,2",00,"905,6",16
2023-07-21,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"29,5","0,0","22,8",05:30,"36,2",12:20,33,"3,1","10,8",14:30,,"907,9",23,"905,4",15
2023-07-22,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,3","0,0","21,3",22:30,"35,3",11:50,13,"3,3","13,3",13:10,,"910,0",23,"906,9",Varias
2023-07-23,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,1","0,0","20,2",01:30,"36,0",15:50,07,"1,4","7,2",11:40,,"909,5",12,"906,2",24
2023-07-24,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"31,0","0,0","23,3",23:59,"38,7",13:20,34,"5,3","14,2",16:20,,"906,4",24,"903,5",17
2023-07-25,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,2","0,0","21,8",05:00,"34,5",14:00,32,"3,6","11,4",02:20,,"908,2",22,"905,4",Varias
2023-07-26,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"26,0","0,0","19,9",23:59,"32,2",12:20,12,"3,1","10,8",13:00,,"909,3",Varias,"907,1",02
2023-07-27,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"24,8","0,0","18,1",05:50,"31,4",13:40,13,"2,5","10,3",12:40,,"908,9",00,"906,4",17
2023-07-28,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"25,2","0,0","18,4",01:10,"32,1",12:00,12,"1,9","9,7",13:50,,"908,5",22,"906,2",17
2023-07-29,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,3","0,0","19,4",03:20,"37,2",14:10,05,"1,7","8,3",14:50,,"909,4",22,"907,2",16
2023-07-30,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"30,6","0,0","23,9",21:00,"37,3",13:30,32,"3,1","9,4",06:20,,"911,4",Varias,"908,6",02
2023-07-31,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"29,6","0,0","23,8",04:00,"35,3",13:00,33,"2,5","8,6",23:30,,"911,0",00,"908,1",17
2023-08-01,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"30,8","0,0","25,1",04:40,"36,5",13:00,99,"4,2","10,3",Varias,,"909,0",00,"905,7",18
2023-08-02,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"31,5","0,0","25,6",05:30,"37,4",13:40,33,"2,8","10,3",20:10,,"907,3",00,"903,7",18
2023-08-03,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"29,6","0,0","23,6",05:40,"35,6",14:10,32,"4,2","11,1",07:40,,"906,4",23,"903,6",17
2023-08-04,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"24,0","0,0","18,0",23:30,"30,0",12:20,31,"2,5","11,1",02:00,,"911,9",Varias,"905,8",00
2023-08-05,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"24,1","0,0","17,2",02:00,"31,0",13:40,09,"2,2","7,8",14:30,,"911,7",Varias,"908,8",16
2023-08-06,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"27,6","0,0","20,5",05:40,"34,6",12:10,12,"2,5","9,7",13:50,,"910,4",Varias,"908,2",17
2023-08-07,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"25,5","0,0","18,3",05:30,"32,7",14:30,12,"2,5","8,6",13:20,,"911,1",09,"909,3",03
2023-08-08,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"26,2","0,0","18,2",03:50,"34,1",13:20,12,"1,4","6,7",12:00,,"910,9",23,"909,1",19
2023-08-09,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"31,2","0,0","22,0",00:20,"40,3",14:50,14,"1,1","8,1",16:00,,"913,2",23,"910,0",Varias
2023-08-10,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"33,1","0,0","25,8",01:20,"40,4",15:50,31,"1,4","8,6",20:50,,"913,5",23,"911,4",16
2023-08-11,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"29,0","0,0","21,3",23:59,"36,6",11:20,12,"1,9","9,4",12:30,,"914,3",Varias,"912,2",04
2023-08-12,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"26,6","0,0","19,7",23:59,"33,6",13:00,99,"1,9","7,2",12:30,,"913,7",00,"910,0",18
2023-08-13,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"25,8","0,0","18,6",02:50,"33,0",12:20,12,"2,5","10,0",13:50,,"910,6",00,"908,1",17
2023-08-14,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"25,9","0,0","18,3",01:40,"33,5",12:00,12,"1,7","7,5",12:40,,"908,4",22,"906,4",17
2023-08-15,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"27,6","0,0","19,2",05:30,"35,9",13:20,05,"1,7","9,4",12:50,,"908,8",10,"906,8",14
2023-08-16,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"27,9","0,0","20,4",Varias,"35,4",14:10,30,"2,8","11,7",17:20,,"908,5",08,"905,4",18
2023-08-17,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,5","0,0","21,5",00:20,"35,5",13:20,11,"1,7","7,5",14:10,,"908,1",Varias,"905,9",Varias
2023-08-18,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"30,3","0,0","23,6",05:50,"37,0",13:40,30,"1,4","8,1",21:20,,"909,3",22,"907,0",04
2023-08-19,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"30,6","0,0","24,8",Varias,"36,5",13:00,12,"2,8","8,6",14:20,,"912,3",21,"908,6",03
2023-08-20,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"29,8","0,0","23,0",05:50,"36,5",11:50,05,"2,2","8,3",11:30,,"913,4",22,"911,4",Varias
2023-08-21,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"27,4","0,0","21,7",03:50,"33,2",14:10,16,"2,5","9,2",15:30,,"913,1",Varias,"911,5",17
2023-08-22,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,2","0,0","21,9",03:40,"34,5",13:20,13,"3,6","11,1",12:30,,"911,9",00,"909,9",Varias
2023-08-23,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"26,9","0,0","20,1",02:30,"33,7",14:40,10,"3,3","10,3",14:20,,"910,5",22,"908,8",Varias
2023-08-24,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"28,4","0,0","21,4",02:50,"35,5",12:00,12,"1,9","8,9",14:00,,"910,2",21,"908,5",Varias
2023-08-25,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"30,9","0,0","23,3",00:10,"38,5",11:50,11,"3,1","8,9",12:40,,"909,3",Varias,"907,4",16
2023-08-26,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"29,2","0,6","20,0",23:59,"38,4",11:50,33,"2,2","17,2",21:10,,"908,2",00,"904,4",15
2023-08-27,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"21,9","0,0","18,4",03:20,"25,4",13:30,34,"8,6","21,1",13:50,,"910,5",23,"902,0",05
2023-08-28,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,8","0,0","15,5",03:50,"30,1",13:40,32,"3,1","11,4",00:30,,"911,1",07,"907,5",16
2023-08-29,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"25,3","0,0","19,3",21:00,"31,3",14:10,11,"2,8","8,6",12:20,,"908,3",00,"903,4",Varias
2023-08-30,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,5","0,0","16,1",06:00,"28,9",14:00,12,"2,2","9,7",14:10,,"907,5",23,"902,8",05
2023-08-31,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"21,3","0,0","14,9",05:50,"27,7",12:50,11,"1,9","9,2",13:00,,"910,8",23,"907,1",01
2023-09-01,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"23,1","0,0","16,5",04:40,"29,7",13:40,12,"2,5","9,4",14:00,,"910,5",00,"906,8",24
2023-09-02,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"18,6","31,7","12,9",23:59,"24,3",12:30,14,"3,3","11,7",13:50,,"907,4",01,"903,2",17
2023-09-03,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"16,4","3,3","12,3",03:00,"20,4",14:00,14,"4,2","14,2",13:40,,"905,6",02,"899,3",15
2023-09-04,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,1","0,0","18,0",23:59,"26,2",13:30,14,"1,9","9,4",12:20,,"908,1",24,"903,6",03
2023-09-05,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,3","0,0","16,5",02:50,"28,1",12:00,13,"1,9","9,2",14:50,,"909,5",23,"907,0",Varias
2023-09-06,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,6","0,0","17,4",03:30,"27,8",13:20,14,"2,2","8,9",16:00,,"910,3",22,"908,4",16
2023-09-07,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,3","0,0","17,4",06:40,"27,2",12:40,12,"1,9","8,3",11:50,,"910,7",11,"909,2",Varias
2023-09-08,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,4","0,0","16,2",05:50,"28,7",12:20,12,"2,2","9,2",12:30,,"910,2",Varias,"908,6",16
2023-09-09,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,4","0,0","16,0",23:59,"28,8",13:00,12,"1,7","7,8",13:40,,"910,3",21,"907,4",05
2023-09-10,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"21,5","0,0","15,4",01:00,"27,6",13:00,13,"1,9","7,8",Varias,,"909,9",Varias,"907,8",18
2023-09-11,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"21,6","0,0","16,2",04:40,"27,0",15:20,13,"1,7","7,2",11:30,,"909,3",01,"905,8",18
2023-09-12,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"21,7","0,0","16,4",02:50,"27,0",11:40,14,"2,2","7,8",12:10,,"908,2",23,"905,8",16
2023-09-13,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"21,4","0,0","15,1",06:20,"27,6",13:10,16,"2,2","9,2",22:50,,"910,2",Varias,"907,2",04
2023-09-14,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"21,4","0,0","16,5",Varias,"26,3",14:00,12,"2,5","10,3",12:50,,"909,9",09,"906,5",17
2023-09-15,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,2","0,0","15,9",04:40,"28,5",14:20,15,"1,1","8,3",14:40,,"907,3",00,"902,6",15
2023-09-16,6335O,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA",ALMERIA,970,"22,2","0,7","15,9",04:40,"28,6",11:00,17,"1,9","9,7",11:10,,"906,7",22,"903,1",Varias
